Solvent,dS (J/mol/K),Temp (ºC),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES
toluene,-79.6,,ss,ROP,C1CCOC(=O)C(CC)(CC)1,CCC1(CC)CCCOC1=O
toluene,-70.2,,ss,ROP,C1CCOC(=O)C(CCC)(CCC)1,CCCC1(CCC)CCCOC1=O
toluene,-53.9,,ss,ROP,C1CCOC(=O)C(CCCC)(CCCC)1,CCCCC1(CCCC)CCCOC1=O
toluene,-46.5,,ss,ROP,C1CCOC(=O)C(CCCCC)(CCCCC)1,CCCCCC1(CCCCC)CCCOC1=O
toluene,-65.6,,ss,ROP,C1CCOC(=O)C(CCCCCC)(CCCCCC)1,CCCCCCC1(CCCCCC)CCCOC1=O
toluene,-30.8,,ss,ROP,C1CCOC(=O)C1,O=C1CCCCO1
,-57,,ls,ROP,CCCCCC1CCCC(=O)O1,CCCCCC1CCCC(=O)O1
dichloromethane+toluene,-41.2,,ss,ROP,CC1CCCC(=O)O1,CC1CCCC(=O)O1
dichloromethane+toluene,-6,,ss,ROP,O=C1CCCCCO1,O=C1CCCCCO1
dichloromethane,-68.5,,ss,ROMP,C1(COCC2=CC=CC=C2)CC=CC1,C1=CCC(COCc2ccccc2)C1
tetrahydrofuran,-59.6,,ss,ROMP,C1(OCC2=CC=CC=C2)CC=CC1,C1=CCC(OCc2ccccc2)C1
tetrahydrofuran,-54.2,,ss,ROMP,C1CC=CC1,C1=CCCC1
tetrahydrofuran,-58.5,,ss,ROMP,C[Si](OC1CC=CC1)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OC1CC=CC1
tetrahydrofuran,-62.2,,ss,ROMP,O=C(OC)C1CC=CC1,COC(=O)C1CC=CC1
tetrahydrofuran,-56.3,,ss,ROMP,OC(C1CC=CC1)=O,O=C(O)C1CC=CC1
tetrahydrofuran,-81.4,,ss,ROMP,O=C(OCC1=CC=CC=C1)C2CC=CC2,O=C(OCc1ccccc1)C1CC=CC1
tetrahydrofuran,-35.4,,ss,ROMP,OC1CC=CC1,OC1CC=CC1
tetrahydrofuran,-75.9,,ss,ROMP,OCC1CC=CC1,OCC1CC=CC1
dichloromethane,-100.7,,ss,vinyl,CC1=C(C(=CC=C1)C)OC(=O)C(=C)C,C=C(C)C(=O)Oc1c(C)cccc1C
toluene,-29.7,,ls,ROP,CC1CC(C)(C)COC(=O)C1,CC1CC(=O)OCC(C)(C)C1
gamma valerolactone,-78,,ss,cationic,C1COCO1,C1COCO1
dichloromethane,-20.9,,ss,ROMP,CCCCC1(CCCC)OC2CC/C=C\CCC2O1,CCCCC1(CCCC)OC2CC/C=C\CCC2O1
,-45.3,,ls,ROP,O=C1COCCO1,O=C1COCCO1
,0,,ls,ROP,O=C1NCCCO1,O=C1NCCCO1
,-135.98,,gg,aldehyde,C=O,C=O
,-45.3,,ls,ROP,C1COC(=O)CO1,O=C1COCCO1
,-48.9,,ls,aldehyde,CC(=S)C,CC(C)=S
,-86,55,ss,vinyl,O=C1C=CC(=O)N1c2ccccc2,O=C1C=C(c2ccccc2)C(=O)N1
,-21,225,ls ,ROP,CC1CCCCC(=O)N1,CC1CCCCC(=O)N1
,-16,200,ls ,ROP,CC1CCNC(=O)CC1,CC1CCNC(=O)CC1
,-11,260,ls ,ROP,CC1CCCCNC1=O,CC1CCCCNC1=O
,-65,,ls,ROP,O=C2CC1CCCCC1O2,O=C1CC2CCCCC2O1
acetonitrile,-26.8,,ss,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1
toluene,-46.6,,ss,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1
,-6.9,,ls,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1
dichloromethane,-20.92,,ss,ROMP,CCCCC2(CCCC)O[C@H]1CC/C=C\CC[C@@H]1O2,CCCCC1(CCCC)O[C@H]2CC/C=C\CC[C@@H]2O1
dichloromethane,-13.4,,ss,ROMP,C/2=C/CC[C@@H]1CCC[C@H]1CC2,C1=C\CC[C@@H]2CCC[C@H]2CC/1
dichloromethane,-13.8,,ss,ROMP,C/3=C/CC[C@@H]2OC1(CCCCC1)O[C@H]2CC3,C1=C\CC[C@@H]2OC3(CCCCC3)O[C@H]2CC/1
dichloromethane,-12.1,,ss,ROMP,C/2=C/CC[C@@H]1OCO[C@H]1CC2,C1=C\CC[C@@H]2OCO[C@H]2CC/1
,-13.8,,ss,ROMP,C12CC/C=C\CCC1OC3(CCCCC3)O2,C1=C\CCC2OC3(CCCCC3)OC2CC/1
dichloromethane,-14.2,,ss,ROMP,C/2=C/CC[C@@H]1CC[C@H]1CC2,C1=C\CC[C@@H]2CC[C@H]2CC/1
toluene,-53.9,,ss,ROP,C1CCC(=O)OCC1,O=C1CCCCCO1
toluene,-54.4,,ss,ROP,S=C1CCCCCO1,S=C1CCCCCO1
,251.4,25,gg,aldehyde,C(=O)O,O=CO
,293.3,,gg,aldehyde,CC(=O)O,CC(=O)O
,-74,,ls,cationic,C1CCOC1,C1CCOC1
dichloromethane+chloroform,-40.4,,ss,ROP,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2
methanol,-41,,ss,ROP,COC(=O)C1CCC(=O)OC1,COC(=O)C1CCC(=O)OC1
toluene,-44.6,,ss,ROP,C1CCOC(=O)C(C)(C)1,CC1(C)CCCOC1=O
toluene,-79.9,,ss,ROMP,C1C=CCC1C2=CC=CC=C2,C1=CCC(c2ccccc2)C1
toluene,-72,,ss,ROP,O=C1OCC2CCCCC12,O=C1OCC2CCCCC12
dioxane,-25,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
toluene,-43.8,27,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
,-40.7,27,ls,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
toluene,-27.4,,ss,cationic,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,CC(C)[C@@H]1CC[C@@H](C)CC1=O
,-45,,ls,ROP,C1C(C)COC(=O)C1,CC1CCC(=O)OC1
dichloromethane+toluene,-41.2,,ss,ROP,CC1CCCC(=O)O1,CC1CCCC(=O)O1
,-62,,ls,ROP,CC1CCCC(=O)O1,CC1CCCC(=O)O1
,-34,,ls,ROP,C1CCOC(=O)C(C)1,CC1CCCOC1=O
toluene,-42,,ss,ROP,C1COC(=O)C(C)O1,CC1OCCOC1=O
,-55,,ls,ROP,CCC1CCCC(=O)O1,CCC1CCCC(=O)O1
,-60,,ls,ROP,CCCC1CCCC(=O)O1,CCCC1CCCC(=O)O1
,-55,,ls,ROP,CCCCC1CCCC(=O)O1,CCCCC1CCCC(=O)O1
,-57,,ls,ROP,CCCCCC1CCCC(=O)O1,CCCCCC1CCCC(=O)O1
,-54,,ls,ROP,CCCCCC1CCCC(=O)O1,CCCCCC1CCCC(=O)O1
,-58,,ls,ROP,CCCCCCC1CCCC(=O)O1,CCCCCCC1CCCC(=O)O1
,-59,,ls,ROP,CCCCCCCC1CCCC(=O)O1,CCCCCCCC1CCCC(=O)O1
,-55,,ls,ROP,CCCCCCCCCC1CCCC(=O)O1,CCCCCCCCCC1CCCC(=O)O1
dichloromethane+toluene,-6,,ss,ROP,C1CCC(=O)OCC1,O=C1CCCCCO1
dichloromethane+toluene,-14.7,,ss,ROP,C1CCOC(=O)C1,O=C1CCCCO1
dichloromethane,-40,,ls,ROP,C1CC(=O)OC1,O=C1CCCO1
,-75,,ls,ROP,C1COC1=O,O=C1CCO1
,-64.8,,ss,ROP,CC2(C)Oc1ccccc1COC2=O,CC1(C)Oc2ccccc2COC1=O
,-39.2,,ls,ROP,C1COC(=O)C(C)O1,CC1OCCOC1=O
,-27.4,,ls,ROP,CC(C)C1CC(=O)OC(C)C1,CC1CC(C(C)C)CC(=O)O1
toluene,-27.4,,ss,ROP,CC1CCC(C(C)C)OC(=O)C1,CC1CCC(C(C)C)OC(=O)C1
,-170.2888,25,gg,,C=C(F)F,C=C(F)F
,-107.9472,27,ls,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1
,-116.5244,77,ls,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1
,-116.7336,25,ls,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1
,-148.532,25,gg,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1
,-109.6208,25,ls,vinyl,CC(=O)OC=C,C=COC(C)=O
dimethylformamide+dimethylsulfoxide,-31,,ss,misc,O=[N+](C1=CC(CC(OC)CCCS2)=C2C=C1)[O-],COC1CCCSc2ccc([N+](=O)[O-])cc2C1
,-67,25,ls,cationic,C1COCO1,C1COCO1
toluene,-58.3,,ss,ROMP,O=C1C2CC(O1)C=CC2,O=C1OC2C=CCC1C2
toluene,-88.7,,ss,ROP,O=C1C2CC(O1)C=CC2,O=C1OC2C=CCC1C2
toluene,-58.3,,ss,ROMP,O=C1OC2C=CCC1C2,O=C1OC2C=CCC1C2
toluene,-88.7,,ss,ROP,O=C1OC2C=CCC1C2,O=C1OC2C=CCC1C2
toluene,-39.6,,ss,ROP,C1CC(=O)OC1,O=C1CCCO1
dichloromethane+toluene,-14.7,,ss,ROP,O=C1CCCCO1,O=C1CCCCO1
dichloromethane,-38.9,,ss,aldehyde,CCCC=O,CCCC=O
dichloromethane,-79.6,,ss,aldehyde,C1=CC=C(C(=C1)C=O)C=O,O=Cc1ccccc1C=O
,-52,,ls,ROP,O1C(C)OC(=O)CC1,CC1OCCC(=O)O1
dimethyl sulfoxide,-71.5,,ss,ROP,O=C1N[C@H]2CCC[C@@H]1O2,O=C1N[C@H]2CCC[C@@H]1O2
toluene,-18,,ss,cyclic,CN1[Si](C)(C)O[Si](C)(C)O[Si]1(C)C,CN1[Si](C)(C)O[Si](C)(C)O[Si]1(C)C
dichloromethane,-188.3,,gg,aldehyde,CC(=O)C,CC(C)=O
