index,Solvent,dS (J/mol/K),Temp (C),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES
0,toluene,-43.8,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
1,,-40.7,27,ls,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
2,chlorobenzene,-34.0,27,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
3,dimethyl sulfoxide,-22.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
4,dimethylformamide,-43.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
5,dioxane,-25.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
6,gamma valerolactone,-46.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
7,dioxane,-41.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
8,nitrobenzene,-25.0,40,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
9,"1,4-dioxane",-41.1,105,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
10,,-75.5,,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2
11,toluene,-49.95,,ss,ROMP,C[Si](C)(OC1C=CCC1)C,C[Si](C)(C)OC1C=CCC1
12,dichloromethane,6.0,100,ss,cationic,C[Si](C)(C)OP1(=O)OCCCO1,C[Si](C)(C)OP1(=O)OCCCO1
13,,-18.1,25,ls,cationic,C[Si]1(C)C[Si](C)(C)C1,C[Si]1(C)C[Si](C)(C)C1
14,,-71.2,25,ls,cationic,C[Si]1(CCC1)C,C[Si]1(C)CCC1
15,,-20.9,,ls,cationic,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
16,,-3.03,,ls,cationic,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1
17,,-57.4,,ls,cationic,C[Si]1(CCC1)C2=CC=CC=C2,C[Si]1(c2ccccc2)CCC1
18,,-96.5,,ls,vinyl,C/C=C/C,C/C=C/C
19,,-184.5,,gg,vinyl,C/C=C/C,C/C=C/C
20,,-182.0,327,gg,vinyl,C/C=C/C(C)C,C/C=C/C(C)C
21,,-130.0,25,ls,vinyl,C/C=C/C(C)C,C/C=C/C(C)C
22,,-110.0,,ls,vinyl,CC/C=C/C,C/C=C/CC
23,,-190.0,,gg,vinyl,CC/C=C/C,C/C=C/CC
24,,-101.5,,ls,vinyl,C/C=C\C,C/C=C\C
25,,-172.0,227,gg,vinyl,C/C=C\C,C/C=C\C
26,,-183.0,327,gg,vinyl,C/C=C\C(C)C,C/C=C\C(C)C
27,,-134.0,25,ls,vinyl,C/C=C\C(C)C,C/C=C\C(C)C
28,,-115.5,,ls,vinyl,CC/C=C\C,C/C=C\CC
29,,-190.0,,gg,vinyl,CC/C=C\C,C/C=C\CC
30,,-59.0,-173,ls,vinyl,C=C,C=C
31,,-311.0,227,gg,vinyl,C=C,C=C
33,"1,2-Dichlorobenzene",-130.0,127,ss,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
34,,-113.43,,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
35,dichloromethane,-100.7,,ss,vinyl,CC1=C(C(=CC=C1)C)OC(=O)C(=C)C,C=C(C)C(=O)Oc1c(C)cccc1C
36,,-85.0,227,ls,vinyl,CC(=C)C(=O)OC1=CC=CC=C1C(=O)O,C=C(C)C(=O)Oc1ccccc1C(=O)O
37,,-126.0,120,ls,vinyl,CCOC(=O)C(=C)C,C=C(C)C(=O)OCC
38,benzonitrile,-151.0,127,ss,vinyl,CC(=C)C#N,C=C(C)C#N
39,tetrahydrofuran,-122.0,-5,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1
40,toluene,-125.0,10,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1
41,cyclohexane,-163.3,22,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
42,n-heptane,-51.0,-10,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
43,tetrahydrofuran,-130.0,-20,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
44,toluene,-47.0,-10,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
45,,-109.392,,ls,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
46,tetrahydrofuran,-70.0,20,ss,vinyl,CC(=C)C1=CC=CC=N1,C=C(C)c1ccccn1
47,tetrahydrofuran,-96.0,20,ss,vinyl,C=C(C)c1ncco1,C=C(C)c1ncco1
48,tetrahydrofuran,-69.0,20,ss,vinyl,CC(=C)C1=NC=CS1,C=C(C)c1nccs1
49,,-105.0,87,ls,vinyl,C=C(CC)C(OC)=O,C=C(CC)C(=O)OC
50,,-98.5,,ls,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
51,,-193.0,,gg,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
52,toluene,103.0,,ss,vinyl,CC(C)C1CCC(C)CC1OC(C(NC(C)=O)=C)=O,C=C(NC(C)=O)C(=O)OC1CC(C)CCC1C(C)C
53,,-109.5,25,ls,vinyl,C[Si](C)(C)(C=C),C=C[Si](C)(C)C
