,Mean Error (cal/mol/K),Experimental Val (cal/mol/K),Predicted Val (cal/mol/K),MAE,STD,Year,Source,BASE_State
2,9.727533460803059,-9.727533460803059,3.2229330073171014e-17,13.069549073561028,8.649104442124766,2016,Aliphatic Polyester Block Polymer Design,ls
11,18.044933078393882,-18.044933078393882,-8.794919832943127e-23,13.069549073561028,8.649104442124766,1999,PHB,ls
14,4.326003824091778,-4.326003824091778,-1.678333352888071e-31,13.069549073561028,8.649104442124766,1999,PHB,ls
15,17.017208413001914,-17.017208413001914,-2.060405263301117e-20,13.069549073561028,8.649104442124766,1999,PHB,ls
16,4.995219885277244,-4.995219885277246,-1.8080440318609293e-15,13.069549073561028,8.649104442124766,1999,PHB,ls
17,0.7241873804971194,-0.7241873804971318,-1.2471326813856773e-14,13.069549073561028,8.649104442124766,1999,PHB,ls
18,13.718929254302102,-13.718929254302102,-1.0388403495154298e-20,13.069549073561028,8.649104442124766,1999,PHB,ls
19,20.139420342228266,-23.064053537284895,-2.9246331950566273,13.069549073561028,8.649104442124766,1999,PHB,ls
22,29.50090907748994,-31.070745697896747,-1.5698366204068066,13.069549073561028,8.649104442124766,1999,PHB,ls
23,19.870613470920613,-26.2906309751434,-6.420017504222791,13.069549073561028,8.649104442124766,1999,PHB,ls
25,21.478521166807635,-24.25908221797323,-2.7805610511655936,13.069549073561028,8.649104442124766,1999,PHB,ls
28,30.516578410071126,-32.026768642447415,-1.5101902323762901,13.069549073561028,8.649104442124766,1999,PHB,ls
29,21.478267220905547,-27.60516252390057,-6.126895302995028,13.069549073561028,8.649104442124766,1999,PHB,ls
31,14.101338432121654,-14.10133843212237,-7.164769575230812e-13,13.069549073561028,8.649104442124766,1999,PHB,ls
34,26.86223546726256,-27.1104206500956,-0.2481851828330434,13.069549073561028,8.649104442124766,1999,PHB,ls
36,20.31548757170172,-20.31548757170172,-1.037245040401241e-117,13.069549073561028,8.649104442124766,1999,PHB,ls
37,30.02794851240696,-30.11472275334608,-0.0867742409391176,13.069549073561028,8.649104442124766,1999,PHB,ls
45,26.14475717853951,-26.1453154875717,-0.000558309032189959,13.069549073561028,8.649104442124766,1999,PHB,ls
49,25.023928914060274,-25.095602294455066,-0.07167338039478925,13.069549073561028,8.649104442124766,1999,PHB,ls
50,23.54206500956023,-23.54206500956023,-3.5756619962927206e-30,13.069549073561028,8.649104442124766,1999,PHB,ls
53,26.17112810707457,-26.17112810707457,-5.330388748052342e-22,13.069549073561028,8.649104442124766,1999,PHB,ls
54,30.47323133299786,-30.47323135755258,-2.455472045471923e-08,13.069549073561028,8.649104442124766,1999,PHB,ls
55,22.801147194716616,-22.801147227533463,-3.281684337501157e-08,13.069549073561028,8.649104442124766,1999,PHB,ls
60,27.365149133676926,-27.366156787762904,-0.0010076540859784366,13.069549073561028,8.649104442124766,1999,PHB,ls
61,24.1395741623222,-24.1395793499044,-5.187582194749882e-06,13.069549073561028,8.649104442124766,1999,PHB,ls
62,23.63529224000468,-23.8217017208413,-0.18640948083662054,13.069549073561028,8.649104442124766,1999,PHB,ls
63,26.051625239005734,-26.051625239005734,-3.008056138283809e-70,13.069549073561028,8.649104442124766,1999,PHB,ls
64,20.67399011873132,-20.673996175908222,-6.0571768979160455e-06,13.069549073561028,8.649104442124766,1999,PHB,ls
65,5.473231357420437,-5.473231357552581,-1.3214288214482606e-10,13.069549073561028,8.649104442124766,2022,Tunable and recyclable polyesters from CO2 and butadiene,ls
66,25.19062513405578,-25.191204588910136,-0.0005794548543579126,13.069549073561028,8.649104442124766,1999,PHB,ls
68,22.22753345998454,-22.22753346080306,-8.185213581755146e-10,13.069549073561028,8.649104442124766,1999,PHB,ls
69,23.448454248818898,-23.960325047801145,-0.5118707989822474,13.069549073561028,8.649104442124766,1999,PHB,ls
71,28.90397273311615,-28.91969407265774,-0.01572133954159414,13.069549073561028,8.649104442124766,1999,PHB,ls
73,27.65796608551293,-28.322179732313575,-0.6642136468006462,13.069549073561028,8.649104442124766,1999,PHB,ls
75,26.78490614491808,-27.007648183556405,-0.22274203863832526,13.069549073561028,8.649104442124766,1999,PHB,ls
77,22.148655004520766,-22.148661567877628,-6.563356861397142e-06,13.069549073561028,8.649104442124766,1999,PHB,ls
80,1.6491395793499044,-1.6491395793499044,-1.5408933470368372e-22,13.069549073561028,8.649104442124766,2016,Switching from Controlled Ring-Opening Polymerization (cROP) to Controlled Ring-Closing Depolymerization (cRCDP) by Adjusting the Reaction Parameters That Determine the Ceiling Temperature,ls
81,11.551147224782827,-11.55114722753346,-2.7506331310470706e-09,13.069549073561028,8.649104442124766,1999,PHB,ls
