,Mean Error (cal/mol/K),Experimental Val (cal/mol/K),Predicted Val (cal/mol/K),MAE,STD,Year,Source,BASE_State
2,7.093874496303958,-9.727533460803059,-2.633658964499102,4.3928100796083545,4.592285397619309,2016,Aliphatic Polyester Block Polymer Design,ls
11,2.132497135100582,-18.044933078393882,-15.912435943293298,4.3928100796083545,4.592285397619309,1999,PHB,ls
14,11.973879346301423,-4.326003824091778,-16.2998831703932,4.3928100796083545,4.592285397619309,1999,PHB,ls
15,2.9265940039067955,-17.017208413001914,-14.090614409095117,4.3928100796083545,4.592285397619309,1999,PHB,ls
16,4.53875414193279,-4.995219885277246,-0.45646574334445705,4.3928100796083545,4.592285397619309,1999,PHB,ls
17,6.089260730853589,-0.7241873804971318,-6.813448111350721,4.3928100796083545,4.592285397619309,1999,PHB,ls
18,4.649769397588085,-13.718929254302102,-18.36869865189019,4.3928100796083545,4.592285397619309,1999,PHB,ls
19,2.9389792794246397,-23.064053537284895,-26.003032816709535,4.3928100796083545,4.592285397619309,1999,PHB,ls
22,5.090598930591095,-31.070745697896747,-25.980146767305655,4.3928100796083545,4.592285397619309,1999,PHB,ls
23,0.04783572741448089,-26.2906309751434,-26.338466702557884,4.3928100796083545,4.592285397619309,1999,PHB,ls
25,0.9029503205364161,-24.25908221797323,-23.356131897436814,4.3928100796083545,4.592285397619309,1999,PHB,ls
28,6.532525067232851,-32.026768642447415,-25.494243575214565,4.3928100796083545,4.592285397619309,1999,PHB,ls
29,2.677862150131764,-27.60516252390057,-24.92730037376881,4.3928100796083545,4.592285397619309,1999,PHB,ls
31,7.045979687532282,-14.10133843212237,-21.147318119654653,4.3928100796083545,4.592285397619309,1999,PHB,ls
34,3.573902418306421,-27.1104206500956,-23.53651823178918,4.3928100796083545,4.592285397619309,1999,PHB,ls
36,4.334049027992399,-20.31548757170172,-24.64953659969412,4.3928100796083545,4.592285397619309,1999,PHB,ls
