,Mean Error (cal/mol/K),Experimental Val (cal/mol/K),Predicted Val (cal/mol/K),MAE,STD,Year,Source,BASE_State,Canonical_Monomer_SMILES,Polymerization
1,0.48321593775682214,-10.468451242829827,-10.951667180586648,7.119051006982724,6.358361800891864,2016,Aliphatic Polyester Block Polymer Design,ss,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
3,2.800289204301529,-8.126195028680687,-10.926484232982217,7.119051006982724,6.358361800891864,2022,Like Recycles Like: Selective Ring-Closing Depolymerization of Poly(L-Lactic Acid) to L-Lactide,ss,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
4,5.510697655697399,-5.25812619502868,-10.76882385072608,7.119051006982724,6.358361800891864,2022,Like Recycles Like: Selective Ring-Closing Depolymerization of Poly(L-Lactic Acid) to L-Lactide,ss,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
5,0.5007272568230773,-10.277246653919693,-10.777973910742771,7.119051006982724,6.358361800891864,2022,Like Recycles Like: Selective Ring-Closing Depolymerization of Poly(L-Lactic Acid) to L-Lactide,ss,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
6,4.849770651513542,-5.975143403441682,-10.824914054955224,7.119051006982724,6.358361800891864,2016,Aliphatic Polyester Block Polymer Design,ss,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
7,0.09895113131264185,-10.994263862332696,-10.895312731020054,7.119051006982724,6.358361800891864,2022,Like Recycles Like: Selective Ring-Closing Depolymerization of Poly(L-Lactic Acid) to L-Lactide,ss,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
8,1.0256636698872832,-9.79923518164436,-10.824898851531643,7.119051006982724,6.358361800891864,1999,PHB,ss,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
9,4.776220183328948,-5.975143403441682,-10.75136358677063,7.119051006982724,6.358361800891864,2016,Aliphatic Polyester Block Polymer Design,ss,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
10,1.01782211691783,-9.823135755258127,-10.840957872175956,7.119051006982724,6.358361800891864,1990,Thermodynamics of L-lactide polymerization. Equilibrium monomer concentration,ss,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
12,0.3510919941349492,-11.938336520076483,-11.587244525941532,7.119051006982724,6.358361800891864,2019,Investigating the effects of bulky allylic substituents on the regioregularity and thermodynamics of ROMP on cyclopentene,ss,C[Si](C)(C)OC1C=CCC1,ROMP
13,11.996723680260523,1.4340344168260037,-10.56268926343452,7.119051006982724,6.358361800891864,1999,PHB,ss,C[Si](C)(C)OP1(=O)OCCCO1,cationic
33,18.4162415261522,-31.070745697896747,-12.654504171744549,7.119051006982724,6.358361800891864,1999,PHB,ss,C=C(C)C(=O)OC,vinyl
