,Mean Error (cal/mol/K),Experimental Val (cal/mol/K),Predicted Val (cal/mol/K),MAE,STD,Year,Source,BASE_State,Canonical_Monomer_SMILES,Polymerization
2,9.85548789425972,-9.727533460803059,0.1279544334566616,3.930477322235685,4.696271450142697,2016,Aliphatic Polyester Block Polymer Design,ls,C[C@@H]1OC(=O)[C@H](C)OC1=O,ROP
11,2.4536526681816144,-18.044933078393882,-15.591280410212267,3.930477322235685,4.696271450142697,1999,PHB,ls,C[Si](C)(C)C1CC2C=CC1C2,ROMP
14,13.854795933681508,-4.326003824091778,-18.180799757773286,3.930477322235685,4.696271450142697,1999,PHB,ls,C[Si]1(C)C[Si](C)(C)C1,cationic
15,3.083912683490586,-17.017208413001914,-13.933295729511325,3.930477322235685,4.696271450142697,1999,PHB,ls,C[Si]1(C)CCC1,cationic
16,4.247940726307564,-4.995219885277246,-0.7472791589696822,3.930477322235685,4.696271450142697,1999,PHB,ls,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,cationic
17,5.413242489612353,-0.7241873804971318,-6.137429870109485,3.930477322235685,4.696271450142697,1999,PHB,ls,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,cationic
18,5.97775497582401,-13.718929254302102,-19.696684230126113,3.930477322235685,4.696271450142697,1999,PHB,ls,C[Si]1(c2ccccc2)CCC1,cationic
19,1.1964090467638997,-23.064053537284895,-24.260462584048792,3.930477322235685,4.696271450142697,1999,PHB,ls,C/C=C/C,vinyl
22,1.7055507827671261,-31.070745697896747,-29.36519491512962,3.930477322235685,4.696271450142697,1999,PHB,ls,C/C=C/C(C)C,vinyl
23,0.41591870397272346,-26.2906309751434,-26.706549679116126,3.930477322235685,4.696271450142697,1999,PHB,ls,C/C=C/CC,vinyl
25,0.7748959397266745,-24.25908221797323,-23.484186278246558,3.930477322235685,4.696271450142697,1999,PHB,ls,C/C=C\C,vinyl
28,2.9120417899429,-32.026768642447415,-29.114726852504518,3.930477322235685,4.696271450142697,1999,PHB,ls,C/C=C\C(C)C,vinyl
29,1.1888671787473484,-27.60516252390057,-26.416295345153223,3.930477322235685,4.696271450142697,1999,PHB,ls,C/C=C\CC,vinyl
31,4.657736243982844,-14.10133843212237,-18.759074676105215,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C,vinyl
34,2.7194487387545947,-27.1104206500956,-24.39097191134101,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C(C)C(=O)OC,vinyl
36,2.5909015371056405,-20.31548757170172,-17.72458603459608,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C(C)C(=O)Oc1ccccc1C(=O)O,vinyl
37,4.965402883963648,-30.11472275334608,-25.14931986938243,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C(C)C(=O)OCC,vinyl
45,1.3782931997032957,-26.1453154875717,-24.767022287868404,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C(C)c1ccccc1,vinyl
49,1.4549806058748729,-25.095602294455066,-26.55058290032994,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C(CC)C(=O)OC,vinyl
50,1.8825148077357567,-23.54206500956023,-21.659550201824473,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C(Cl)Cl,vinyl
53,0.6076692395182914,-26.17112810707457,-25.563458867556278,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C[Si](C)(C)C,vinyl
54,8.042800494863243,-30.47323135755258,-22.430430862689338,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C[Si](C)(C)c1ccccc1,vinyl
55,0.7310218154586282,-22.801147227533463,-23.532169042992088,3.930477322235685,4.696271450142697,1999,PHB,ls,C=C[Si](C)(C)Cc1ccccc1,vinyl
60,7.584962060756938,-27.366156787762904,-19.781194727005968,3.930477322235685,4.696271450142697,1999,PHB,ls,C=CC,vinyl
61,2.3213964575335355,-24.1395793499044,-21.81818289237086,3.930477322235685,4.696271450142697,1999,PHB,ls,C=CC(=C)C,misc
62,1.1445673838628176,-23.8217017208413,-24.966269104704118,3.930477322235685,4.696271450142697,1999,PHB,ls,C=CC(=O)OCC,vinyl
63,7.454168272291953,-26.051625239005734,-18.597456966713782,3.930477322235685,4.696271450142697,1999,PHB,ls,C=CC#N,vinyl
64,3.3211480135215625,-20.673996175908222,-17.352848162386657,3.930477322235685,4.696271450142697,1999,PHB,ls,C=CC=C,misc
