level_0,index,Solvent,dS (J/mol/K),Temp (C),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES,BASE_Monomer_State,BASE_Polymer_State,Source,Year
0,0,toluene,-43.8,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s,Aliphatic Polyester Block Polymer Design,2016
1,1,,-40.7,27.0,ls,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,l,s,Aliphatic Polyester Block Polymer Design,2016
2,2,chlorobenzene,-34.0,27.0,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s,Like Recycles Like: Selective Ring-Closing Depolymerization of Poly(L-Lactic Acid) to L-Lactide,2022
3,3,dimethyl sulfoxide,-22.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s,Like Recycles Like: Selective Ring-Closing Depolymerization of Poly(L-Lactic Acid) to L-Lactide,2022
4,4,dimethylformamide,-43.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s,Like Recycles Like: Selective Ring-Closing Depolymerization of Poly(L-Lactic Acid) to L-Lactide,2022
5,5,dioxane,-25.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s,Aliphatic Polyester Block Polymer Design,2016
6,6,gamma valerolactone,-46.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s,Like Recycles Like: Selective Ring-Closing Depolymerization of Poly(L-Lactic Acid) to L-Lactide,2022
7,7,dioxane,-41.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s,PHB,1999
8,8,nitrobenzene,-25.0,40.0,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s,Aliphatic Polyester Block Polymer Design,2016
9,9,"1,4-dioxane",-41.1,105.0,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s,Thermodynamics of L-lactide polymerization. Equilibrium monomer concentration,1990
10,10,,-75.5,,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2,l,s,PHB,1999
11,11,toluene,-49.95,,ss,ROMP,C[Si](C)(OC1C=CCC1)C,C[Si](C)(C)OC1C=CCC1,s,s,Investigating the effects of bulky allylic substituents on the regioregularity and thermodynamics of ROMP on cyclopentene,2019
12,12,dichloromethane,6.0,100.0,ss,cationic,C[Si](C)(C)OP1(=O)OCCCO1,C[Si](C)(C)OP1(=O)OCCCO1,s,s,PHB,1999
13,13,,-18.1,25.0,ls,cationic,C[Si]1(C)C[Si](C)(C)C1,C[Si]1(C)C[Si](C)(C)C1,l,s,PHB,1999
14,14,,-71.2,25.0,ls,cationic,C[Si]1(CCC1)C,C[Si]1(C)CCC1,l,s,PHB,1999
15,15,,-20.9,,ls,cationic,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,l,s,PHB,1999
16,16,,-3.03,,ls,cationic,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,l,s,PHB,1999
17,17,,-57.4,,ls,cationic,C[Si]1(CCC1)C2=CC=CC=C2,C[Si]1(c2ccccc2)CCC1,l,s,PHB,1999
18,18,,-96.5,,ls,vinyl,C/C=C/C,C/C=C/C,l,s,PHB,1999
19,19,,-184.5,,gg,vinyl,C/C=C/C,C/C=C/C,g,g,PHB,1999
20,20,,-182.0,327.0,gg,vinyl,C/C=C/C(C)C,C/C=C/C(C)C,g,g,PHB,1999
21,21,,-130.0,25.0,ls,vinyl,C/C=C/C(C)C,C/C=C/C(C)C,l,s,PHB,1999
22,22,,-110.0,,ls,vinyl,CC/C=C/C,C/C=C/CC,l,s,PHB,1999
23,23,,-190.0,,gg,vinyl,CC/C=C/C,C/C=C/CC,g,g,PHB,1999
24,24,,-101.5,,ls,vinyl,C/C=C\C,C/C=C\C,l,s,PHB,1999
25,25,,-172.0,227.0,gg,vinyl,C/C=C\C,C/C=C\C,g,g,PHB,1999
26,26,,-183.0,327.0,gg,vinyl,C/C=C\C(C)C,C/C=C\C(C)C,g,g,PHB,1999
27,27,,-134.0,25.0,ls,vinyl,C/C=C\C(C)C,C/C=C\C(C)C,l,s,PHB,1999
28,28,,-115.5,,ls,vinyl,CC/C=C\C,C/C=C\CC,l,s,PHB,1999
29,29,,-190.0,,gg,vinyl,CC/C=C\C,C/C=C\CC,g,g,PHB,1999
30,30,,-59.0,-173.0,ls,vinyl,C=C,C=C,l,s,PHB,1999
31,31,,-311.0,227.0,gg,vinyl,C=C,C=C,g,g,PHB,1999
32,33,"1,2-Dichlorobenzene",-130.0,127.0,ss,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC,s,s,PHB,1999
33,34,,-113.43,,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC,l,s,PHB,1999
34,35,dichloromethane,-100.7,,ss,vinyl,CC1=C(C(=CC=C1)C)OC(=O)C(=C)C,C=C(C)C(=O)Oc1c(C)cccc1C,s,s,Low Ceiling Temperature in Radical Polymerization of 2 6-Dimethylphenyl Methacrylate,1981
35,36,,-85.0,227.0,ls,vinyl,CC(=C)C(=O)OC1=CC=CC=C1C(=O)O,C=C(C)C(=O)Oc1ccccc1C(=O)O,l,s,PHB,1999
36,37,,-126.0,120.0,ls,vinyl,CCOC(=O)C(=C)C,C=C(C)C(=O)OCC,l,s,PHB,1999
37,38,benzonitrile,-151.0,127.0,ss,vinyl,CC(=C)C#N,C=C(C)C#N,s,s,PHB,1999
38,39,tetrahydrofuran,-122.0,-5.0,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1,s,s,PHB,1999
39,40,toluene,-125.0,10.0,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1,s,s,PHB,1999
40,41,cyclohexane,-163.3,22.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s,PHB,1999
41,42,n-heptane,-51.0,-10.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s,PHB,1999
42,43,tetrahydrofuran,-130.0,-20.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s,PHB,1999
43,44,toluene,-47.0,-10.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s,PHB,1999
44,45,,-109.392,,ls,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,l,s,PHB,1999
45,46,tetrahydrofuran,-70.0,20.0,ss,vinyl,CC(=C)C1=CC=CC=N1,C=C(C)c1ccccn1,s,s,PHB,1999
46,47,tetrahydrofuran,-96.0,20.0,ss,vinyl,C=C(C)c1ncco1,C=C(C)c1ncco1,s,s,PHB,1999
47,48,tetrahydrofuran,-69.0,20.0,ss,vinyl,CC(=C)C1=NC=CS1,C=C(C)c1nccs1,s,s,PHB,1999
48,49,,-105.0,87.0,ls,vinyl,C=C(CC)C(OC)=O,C=C(CC)C(=O)OC,l,s,PHB,1999
