,index,Solvent,dS (J/mol/K),Temp (C),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES,BASE_Monomer_State,BASE_Polymer_State
0,0,toluene,-43.8,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
1,1,,-40.7,27.0,ls,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,l,s
2,2,chlorobenzene,-34.0,27.0,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
3,3,dimethyl sulfoxide,-22.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
4,4,dimethylformamide,-43.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
5,5,dioxane,-25.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
6,6,gamma valerolactone,-46.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
7,7,dioxane,-41.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
8,8,nitrobenzene,-25.0,40.0,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
9,9,"1,4-dioxane",-41.1,105.0,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
10,10,,-75.5,,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2,l,s
11,11,toluene,-49.95,,ss,ROMP,C[Si](C)(OC1C=CCC1)C,C[Si](C)(C)OC1C=CCC1,s,s
12,12,dichloromethane,6.0,100.0,ss,cationic,C[Si](C)(C)OP1(=O)OCCCO1,C[Si](C)(C)OP1(=O)OCCCO1,s,s
13,13,,-18.1,25.0,ls,cationic,C[Si]1(C)C[Si](C)(C)C1,C[Si]1(C)C[Si](C)(C)C1,l,s
14,14,,-71.2,25.0,ls,cationic,C[Si]1(CCC1)C,C[Si]1(C)CCC1,l,s
15,15,,-20.9,,ls,cationic,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,l,s
16,16,,-3.03,,ls,cationic,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,l,s
17,17,,-57.4,,ls,cationic,C[Si]1(CCC1)C2=CC=CC=C2,C[Si]1(c2ccccc2)CCC1,l,s
18,18,,-96.5,,ls,vinyl,C/C=C/C,C/C=C/C,l,s
19,19,,-184.5,,gg,vinyl,C/C=C/C,C/C=C/C,g,g
20,20,,-182.0,327.0,gg,vinyl,C/C=C/C(C)C,C/C=C/C(C)C,g,g
21,21,,-130.0,25.0,ls,vinyl,C/C=C/C(C)C,C/C=C/C(C)C,l,s
22,22,,-110.0,,ls,vinyl,CC/C=C/C,C/C=C/CC,l,s
23,23,,-190.0,,gg,vinyl,CC/C=C/C,C/C=C/CC,g,g
24,24,,-101.5,,ls,vinyl,C/C=C\C,C/C=C\C,l,s
25,25,,-172.0,227.0,gg,vinyl,C/C=C\C,C/C=C\C,g,g
26,26,,-183.0,327.0,gg,vinyl,C/C=C\C(C)C,C/C=C\C(C)C,g,g
27,27,,-134.0,25.0,ls,vinyl,C/C=C\C(C)C,C/C=C\C(C)C,l,s
28,28,,-115.5,,ls,vinyl,CC/C=C\C,C/C=C\CC,l,s
29,29,,-190.0,,gg,vinyl,CC/C=C\C,C/C=C\CC,g,g
30,30,,-59.0,-173.0,ls,vinyl,C=C,C=C,l,s
31,31,,-311.0,227.0,gg,vinyl,C=C,C=C,g,g
